ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
1,1,5,1,0,0.5,14,7,6,5,1133937,4,19,6,0,4,48770,1,117,14,113,2018,227,14,113,34.0,50.0,57.09134615384615,1,0.8088235294117647
5,1,10,11,5,0.565,23,13,6,3,7315604,5,34,11,1,4,473409,14,114,10,121,2021,237,14,114,37.0,67.3913043478261,66.30265210608424,1,1.6081081081081081
8,0,1,0,0,0.583,12,7,2,2,315152,3,16,2,1,1,14748,15,119,13,115,2001,1051,13,115,31.0,58.333333333333336,62.11180124223602,1,0.9354838709677419
0,0,1,0,0,0.0,1,0,2,2,583437,0,2,1,0,0,25158,16,114,29,116,2010,1494,29,116,6.0,0.0,53.191489361702125,0,0.6666666666666666
1,0,1,2,0,0.222,9,2,0,0,613779,1,4,1,1,1,24899,9,83,5,99,2011,258,9,83,22.0,22.22222222222222,22.22222222222222,0,0.06818181818181818
1,0,0,4,1,0.273,11,3,0,0,628980,1,7,0,0,1,28001,12,111,23,94,2011,481,23,94,24.0,31.818181818181817,31.818181818181817,0,-0.020833333333333332
2,0,3,3,1,0.25,8,2,0,0,788735,2,5,3,0,2,34967,3,86,27,112,2016,54,3,86,22.9,31.25,31.25,0,0.39301310043668125
2,0,0,1,1,0.545,11,6,4,4,788819,3,17,2,1,0,33628,7,95,24,102,2016,258,24,102,26.233333333333334,59.09090909090909,66.61442006269593,2,0.8386277001270648
13,0,6,1,0,0.5,22,11,10,8,821594,1,30,8,2,7,35479,21,124,28,107,2017,472,21,124,35.483333333333334,50.0,56.81818181818182,2,1.5641146077970878
7,1,5,6,4,0.647,17,11,6,4,837916,3,30,6,4,4,34948,8,107,12,104,2017,246,8,107,38.06666666666667,76.47058823529412,76.37474541751527,1,1.3528896672504376
1,0,0,1,0,0.4,5,2,5,4,981362,2,8,0,1,3,43317,3,94,17,115,1986,3044,3,94,21.0,40.0,55.55555555555556,0,0.16666666666666666
1,1,5,0,0,0.333,6,2,2,1,1016857,2,5,6,0,2,42647,11,115,25,109,1987,507,25,109,21.0,33.33333333333333,36.337209302325576,1,0.8809523809523809
2,0,2,2,0,0.0,2,0,0,0,1638935,0,0,2,0,0,62860,24,113,7,120,2019,355,24,113,6.35,0.0,0.0,0,1.1023622047244095
7,1,6,1,1,1.0,3,3,0,0,2753711,3,7,6,3,2,110968,12,116,14,111,2019,213,12,116,35.0,116.66666666666667,116.66666666666667,0,1.0714285714285714
4,0,2,2,1,0.833,6,5,0,0,7326642,0,11,2,0,1,473420,25,121,26,124,2021,419,25,121,18.0,91.66666666666666,91.66666666666666,0,1.1666666666666665
3,2,14,6,1,0.529,17,9,3,2,9928786,3,21,15,0,2,474150,11,110,25,125,2021,486,11,110,37.0,55.88235294117647,57.314410480349345,1,1.6621621621621623
3,0,6,2,1,0.667,3,2,0,0,12292198,4,5,6,3,1,857459,16,116,10,109,2022,185,10,109,32.0,83.33333333333334,83.33333333333334,0,0.890625
5,2,7,0,0,0.619,21,13,2,2,867824,2,28,13,1,7,36827,8,117,29,121,1980,588,8,117,38.0,61.904761904761905,63.98537477148081,6,1.644736842105263
4,1,4,0,0,0.524,21,11,2,1,865869,2,23,5,0,1,38633,14,107,30,98,1980,2245,14,107,36.0,52.38095238095239,52.55941499085923,1,0.9166666666666666
2,0,1,0,0,0.25,4,1,0,0,314304,2,2,2,0,1,14688,30,86,9,89,2001,817,9,89,19.0,25.0,25.0,1,0.3684210526315789
1,0,8,4,1,0.2,10,2,4,4,507971,4,9,11,4,1,21303,4,118,10,109,2007,1504,4,118,38.166666666666664,25.0,38.265306122448976,3,1.0087336244541485
0,0,1,0,0,0.667,3,2,2,1,583396,1,5,4,1,1,24590,4,91,27,95,2010,1906,27,95,11.0,66.66666666666666,64.43298969072166,3,1.3636363636363638
2,2,8,3,1,0.375,8,3,2,0,755899,0,7,9,1,0,32462,5,100,30,114,2015,321,5,100,28.766666666666666,43.75,39.41441441441441,1,1.1471610660486675
4,0,3,0,0,0.5,2,1,0,0,821584,3,2,5,0,0,35479,21,124,28,107,2017,458,28,107,18.15,50.0,50.0,2,1.2121212121212122
0,0,2,0,0,0.867,15,13,4,3,860828,3,29,4,1,1,36949,26,100,24,127,1980,619,24,127,24.0,86.66666666666667,86.51551312649164,2,1.5833333333333333
1,1,6,0,0,0.7,10,7,4,3,908035,2,17,8,0,0,36921,12,138,27,143,1982,2334,12,138,19.0,70.0,72.27891156462584,2,2.0789473684210527
3,0,2,1,0,0.667,12,8,0,0,908016,4,16,5,1,3,36655,6,119,5,124,1982,2413,6,119,28.0,66.66666666666666,66.66666666666666,3,1.0535714285714286
1,0,2,0,0,0.333,3,1,2,2,908152,0,4,2,0,0,36922,13,110,1,100,1982,2294,1,100,15.0,33.33333333333333,51.54639175257733,0,0.6333333333333333
2,2,4,0,0,0.667,15,10,5,4,927736,5,24,8,1,4,42311,12,111,7,118,1983,2599,7,118,45.0,66.66666666666666,69.76744186046511,4,0.9777777777777779
