ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
9,1,4,3,1,0.45,20,9,9,8,509092,0,27,5,0,2,21149,18,96,25,103,2007,1689,25,103,37.25,47.5,56.34390651085142,1,1.1409395973154361
2,1,2,5,2,0.182,11,2,4,2,520093,3,8,4,4,2,22239,14,111,11,82,2008,1249,11,82,32.45,27.27272727272727,31.347962382445143,2,0.4622496147919876
7,0,4,7,3,0.458,24,11,0,0,528859,2,25,5,0,0,23075,1,109,8,91,2008,1364,1,109,38.0,52.083333333333336,52.083333333333336,1,0.9868421052631579
11,0,3,1,1,0.833,6,5,0,0,537727,0,11,4,1,3,21854,7,116,26,95,2008,908,7,116,25.0,91.66666666666666,91.66666666666666,1,1.46
8,0,2,4,1,0.583,12,7,2,2,542230,1,17,3,0,2,23246,20,89,3,115,2008,1296,3,115,33.75,62.5,65.99378881987577,1,0.9185185185185185
0,0,0,0,0,0.2,5,1,0,0,602968,0,2,2,0,0,24876,1,83,5,80,2010,1595,1,83,7.0,20.0,20.0,2,0.5714285714285714
0,0,0,0,0,0.5,2,1,1,0,619519,0,2,1,2,0,25622,26,93,8,122,2011,1939,26,93,4.0,50.0,40.98360655737705,1,1.25
3,0,1,1,0,0.667,6,4,0,0,644079,1,8,2,1,1,30629,29,102,11,91,2012,84,29,102,13.0,66.66666666666666,66.66666666666666,1,1.2692307692307694
0,0,2,0,0,0.333,3,1,4,1,664086,0,3,5,0,0,29509,10,93,17,103,2012,1998,10,93,11.0,33.33333333333333,31.512605042016805,3,1.1818181818181819
10,0,5,9,5,0.529,17,9,1,1,664165,4,24,5,1,4,28822,22,99,23,91,2012,1533,22,99,38.95,67.64705882352942,68.80733944954129,0,1.10397946084724
0,2,3,0,0,1.0,4,4,0,0,664111,4,8,3,1,3,29120,8,111,18,88,2012,306,8,111,12.0,100.0,100.0,0,1.4166666666666665
1,0,2,2,0,0.0,4,0,2,2,670808,1,2,2,0,1,28448,18,105,24,93,2012,1840,18,105,17.6,0.0,20.491803278688526,0,0.2556818181818182
1,1,3,0,0,0.583,12,7,1,0,677536,4,14,8,1,0,31442,11,122,8,111,2013,1796,8,111,27.0,58.333333333333336,56.27009646302251,5,1.3148148148148147
0,0,1,4,2,0.5,4,2,0,0,697639,2,6,1,0,0,28046,2,91,3,84,2013,2067,2,91,15.0,75.0,75.0,0,0.4666666666666667
0,0,1,4,2,0.429,7,3,0,0,721083,2,8,1,1,0,27670,27,89,29,69,2014,319,27,89,23.133333333333333,57.14285714285714,57.14285714285714,0,0.345821325648415
7,0,7,0,0,0.429,7,3,8,4,728609,1,10,8,1,1,29930,22,103,23,98,2014,369,22,103,36.0,42.857142857142854,47.52851711026616,1,1.0138888888888888
3,1,4,5,0,0.333,9,3,7,5,728647,6,11,5,1,3,28504,14,118,2,111,2014,420,2,111,30.85,33.33333333333333,45.52980132450331,1,0.6969205834683955
2,1,6,3,2,0.778,9,7,2,1,736470,0,17,8,2,0,32416,30,101,20,87,2014,376,30,101,28.833333333333332,88.88888888888889,86.03238866396761,2,1.5260115606936417
2,0,0,3,0,0.429,7,3,0,0,759658,3,6,1,1,4,27550,16,105,1,87,2015,1551,16,105,25.016666666666666,42.857142857142854,42.857142857142854,1,0.19986675549633576
2,0,2,3,0,0.4,5,2,0,0,809144,1,4,2,0,1,32961,19,120,10,128,2017,317,19,120,20.15,40.0,40.0,0,0.44665012406947896
5,1,7,11,3,0.45454547,22,10,15,13,13898586,1,36,7,3,3,907527,18,111,8,120,2022,3547238,18,111,44.0,52.27272727272727,62.93706293706294,0,1.1704545454545454
0,0,2,0,0,0.444,9,4,4,4,31399,6,12,3,1,2,6586,8,126,22,111,1990,625,22,111,25.0,44.44444444444444,55.762081784386616,1,0.6
1,0,1,5,1,0.375,8,3,0,0,31424,3,7,2,0,1,6453,12,135,5,114,1990,2927,5,114,18.0,43.75,43.75,1,0.4722222222222222
0,1,5,0,0,0.417,12,5,4,4,52625,4,14,12,1,1,5653,7,98,25,103,1991,599,25,103,39.0,41.66666666666667,50.872093023255815,7,1.1282051282051282
9,1,4,2,2,0.35,20,7,7,7,63164,3,23,7,1,0,1725,24,151,25,153,1991,598,24,151,51.0,40.0,49.82668977469671,3,0.9117647058823529
0,2,11,0,0,0.25,4,1,0,0,443768,5,2,15,0,1,18424,5,91,6,92,2005,94,5,91,32.0,25.0,25.0,4,1.40625
5,0,4,0,0,0.286,7,2,2,2,443872,1,6,6,0,1,20484,11,89,8,78,2005,922,11,89,31.0,28.57142857142857,38.07106598984772,2,0.8225806451612903
2,0,2,1,0,0.4,15,6,3,2,444406,4,14,2,1,0,20673,29,90,22,85,2005,1298,22,85,29.366666666666667,40.0,42.8921568627451,0,0.4767309875141884
0,0,2,6,4,0.643,14,9,3,2,444590,2,24,4,0,1,18500,5,95,3,87,2005,1561,5,95,22.683333333333334,78.57142857142857,78.3289817232376,2,1.278471711976488
3,0,0,1,1,1.0,1,1,0,0,445719,0,3,0,0,0,20677,11,77,3,90,2005,1469,3,90,8.0,150.0,150.0,0,0.9375
0,0,2,0,0,0.5,8,4,0,0,448059,4,8,3,0,1,18517,1,83,7,98,2005,1543,1,83,20.0,50.0,50.0,1,0.6000000000000001
1,0,2,0,0,0.75,8,6,0,0,449293,3,12,5,1,0,20830,20,91,4,98,2005,1590,20,91,17.0,75.0,75.0,3,1.6176470588235294
0,1,5,0,0,0.5,4,2,2,0,450426,2,4,5,0,0,18706,23,99,2,109,2005,1393,23,99,15.0,50.0,40.98360655737705,0,1.0666666666666667
7,0,0,4,2,0.5,10,5,0,0,450441,1,12,1,0,1,18529,20,98,12,96,2005,1121,12,96,33.0,60.0,60.0,1,0.5909090909090909
2,0,7,1,0,0.438,16,7,4,3,451642,3,17,9,2,5,19945,16,104,23,85,2005,847,23,85,37.45,43.75,47.86036036036035,2,0.9078771695594124
0,0,5,0,0,0.571,7,4,2,2,454043,2,10,6,1,1,19650,6,74,9,72,2005,1557,6,74,28.0,57.14285714285714,63.45177664974619,1,0.8928571428571428
3,0,4,1,0,0.556,9,5,0,0,464312,4,10,5,1,1,18973,25,100,28,101,2006,1699,28,101,40.0,55.55555555555556,55.55555555555556,1,0.6375000000000001
2,1,5,1,0,0.727,11,8,11,5,466636,2,21,5,1,3,20849,28,105,1,92,2006,1482,28,105,33.13333333333333,72.72727272727273,66.28787878787878,0,0.8752515090543259
