id,first_name,last_name,position,team_id
46400214,Charlie,Hardnett,,30
46392974,Earl,Lloyd,,42
46404878,Mike,Davis,,30
46403286,Cazzie,Russell,,20
17896049,David,Duke Jr.,G,3
843,George,Lynch,,14
1014,John,Wallace,,20
1103,Adonal,Foyle,,10
1181,Michael,Dickerson,G,11
1267,Greg,Buckner,,7
1427,J.R.,Bremer,,2
1452,Robert,Archibald,,15
1603,Earl,Barron,,16
2221,Nigel,Hayes,,14
2244,Don,Ford,,14
2447,Brad,Holland,,14
2560,Lewis,Brown,,30
2746,Derrick,Rowland,,17
2877,Orlando,Woolridge,,8
4196798,Doron,Sheffer,G,25
64,Ryan,Broekhoff,G-F,23
46389583,Giff,Roux,,38
666953,Quinndary,Weatherspoon,G,10
46391347,Jack,Coleman,,26
46389660,Earl,Shannon,,43
46390767,Arnie,Ferrin,,14
46390793,Walter,Budko,,45
46398148,Tommy,Kearns,,23
46398153,Bailey,Howell,,9
46396617,Gary,Bergen,,20
46404325,Ken,Wilburn,,5
46404354,Bill,Hewitt,,14
46405394,Eddie,Mast,,20
46404358,Al,Hairston,,21
46406991,Harthorne,Wingo,,20
46397119,Larry,Friend,,20
46403276,Freddie,Crawford,,20
17553994,Davion,Mitchell,G,26
46412085,Wayne,Radford,,12
739,Chris,Smith,,18
1119,Keith,Van Horn,,3
1145,Brandon,Williams,,10
1189,Cory,Carr,,5
1192,Andrae,Patterson,,18
1294,Dragan,Tarlac,,5
1586,Viktor,Khryapa,,25
2522,Don,Collins,,1
2544,Wayne,Kreklow,,2
2588,Ed,Rains,,27
2745,Jerome,Henderson,,14
2776,Brad,Wright,,20
2941,Manute,Bol,,23
2977,Stuart,Gray,,20
4196799,Andrei,Fetisov,F,17
95,Wilson,Chandler,F,3
17896117,Ethan,Thompson,G,5
17895744,Emmanuel,Nzekwesi,F,24
3547164,CJ,Elleby,F-G,25
218,Rodney,Hood,G,13
46390777,Dick,Triptow,,9
46391422,Ron,Livingstone,,10
46395576,Phil,Martin,,1
46399183,Adrian,Smith,,26
46404326,Jim,Burns,,5
46405388,Jim,McMillian,,14
46400211,Bob,Duffy,,1
666400,Nickeil,Alexander-Walker,G,18
3547244,Onyeka,Okongwu,F-C,1
46408531,Jimmy,Jones,,30
38017716,Ousmane,Dieng,F,21
38017739,Simone,Fontecchio,F,29
1089,Tim,Duncan,F,27
1699,Jorge,Garbajosa,,28
1758,Daequan,Cook,,16
2059,James,Southerland,,4
2209,Vincent,Hunter,,15
2292,Steve,Hawes,,1
2377,Billy,McKinney,,26
2420,Artis,Gilmore,,5
2695,Ozell,Jones,,27
1938,Jimmer,Fredette,,24
24489019,Jarron,Cumberland,G,25
266,Skal,Labissiere,F,27
411,Thabo,Sefolosha,F,11
24602685,Trayvon,Palmer,G,9
42,DeAndre',Bembry,F,17
46390824,Doug,Holcomb,,45
46395566,Herm,Hedderick,,20
46395589,Jim,Loscutoff,,2
422,Ish,Smith,G,8
123,Matthew,Dellavedova,G,26
46404372,Ron,Williams,,10
46398680,Ron,Johnson,,14
666581,Darius,Garland,G,6
666692,Mfiondu,Kabengele,F,2
46402263,Jerry,Sloan,,30
417,Ben,Simmons,G-F,3
248,Damian,Jones,C,29
457,Jarred,Vanderbilt,F,14
46411581,Mel,Daniels,,3
603,Corey,Gaines,,8
668,Robert,Pack,,25
761,Oliver,Miller,,24
767,Alex,Stivrins,,24
844,Bob,Martin,,13
1071,Jason,Sasser,,27
1090,Tony,Battie,F,8
1670,Jordan,Farmar,,14
1671,Tyrus,Thomas,,5
2009,Chris,Copeland,,20
2203,Mangok,Mathiang,,4
2804,Mark,Wade,,10
2888,Mike,Sanders,,12
2925,Bill,Cartwright,,5
17895899,Shaq,Buchanan,G,15
456,Denzel,Valentine,G,29
3547288,Robert,Woodard II,F,27
46389616,John,Palmer,,20
17553987,Zavier,Simpson,G,21
46396110,Bill,Russell,,2
46396610,John,Barber,,1
46405379,John,Arthurs,,17
46406985,Ron,Riley,,11
46404347,Fred,Foster,,26
46406972,Paul,Stovall,,24
2148,Thanasis,Antetokounmpo,,17
46399202,Sam,Stith,,20
46409555,Ira,Terrell,,24
666505,Brandon,Clarke,F,15
3547272,Isaiah,Joe,G,21
2175,Danuel,House Jr.,,23
3547095,Udoka,Azubuike,C-F,29
17896103,Jay,Huff,F-C,30
46406455,Sid,Catlett,,26
38017708,Bryce,McGowens,G,4
642,Alan,Ogg,,16
741,Gundars,Vetra,,18
795,Doug,Christie,,14
1044,Matt,Maloney,G,11
1426,Lonny,Baxter,,5
1438,Flip,Murray,,17
1476,Leandro,Barbosa,,24
1629,Luther,Head,,11
1725,James,White,,27
1797,Joe,Alexander,,17
2168,Daniel,Ochefu,,30
2230,Xavier,Rathan-Mayes,,15
2594,Ray,Blume,,5
2628,Clark,Kellogg,,12
2771,Cozell,McQueen,,9
3024,Scott,Meents,,21
3050,Pete,Myers,,27
3068,Scott,Haffner,,4
352,Kyle,O'Quinn,C,23
362,Jabari,Parker,F,2
17895694,Biram,Faye,C,27
46390753,Stan,Brown,,10
46390199,Bill,Fenley,,2
46389662,Wilfred,Goodwin,,43
46393487,Mel,Payton,,10
46398157,John,Richter,,2
347,Frank,Ntilikina,G,7
46409581,Tony,Robertson,,1
370,Theo,Pinson,G-F,7
3547270,Paul,Reed,F,23
46402274,Bob,Warlick,,9
46404880,Grady,O'Malley,,1
257,Maxi,Kleber,F,7
38017725,Moussa,Diabate,F,13
46408544,Robert,Hawkins,,10
525,Todd,Lichti,,8
618,Marcus,Liberty,,8
727,Todd,Day,,17
737,Clar.,Weatherspoon,,23
827,Lucious,Harris,,7
846,Sedric,Toney,,6
914,Trevor,Ruffin,,24
1040,Ben,Davis,,24
1074,Brian,Evans,,22
1550,Matt,Bonner,,28
1704,Yakhouba,Diawara,,8
1845,Gerald,Henderson,,4
2444,Bernard,Toone,,23
2525,Chad,Kinch,,6
2549,Dick,Miller,,12
2861,Chucky,Brown,,6
2229,Walter,Lemon Jr.,,5
4196841,Erazem,Lorbek,F,27
444,Tristan,Thompson,C-F,14
46390252,Lee,Robbins,,43
46405399,George,Johnson,,30
46404332,Harry,Barnes,,11
46400201,Dan,Swartz,,2
46409565,Phil,Walker,,30
46398665,Bob,Boozer,,26
3547298,Saben,Lee,G,24
46397644,Jim,Palmer,,26
61,Mikal,Bridges,F,3
861,Malcolm,Mackey,,24
897,B.J.,Tyler,,23
2497,Cedrick,Hordges,,8
2894,Chris,Morris,,3
17896019,Nahziah,Carter,G,1
431,Lance,Stephenson,G,12
427,Ray,Spalding,F,11
46395574,Fred,Christ,,20
46405452,Howard,Porter,,5
46394009,Jim,Mooney,,10
46408526,Gene,Short,,20
38017620,Ochai,Agbaji,G,29
17896042,Jason,Preston,G,13
382,Billy,Preston,F,6
745,Duane,Cooper,,14
884,Lamond,Murray,,13
945,Sherell,Ford,,21
974,Shawn,Respert,,17
1143,Drew,Barry,,1
1256,Jermaine,Jackson,,9
1663,Dwayne,Jones,,2
1703,Mile,Ilic,,3
1728,Shawne,Williams,,12
1906,Tiago,Splitter,,27
2709,Ralph,Jackson,,12
